timestamp,state,t,v1,v2,v3
2025-04-29T18:15:36.679627,RUBBERTEST,0.000,,0.08336602804919885,
2025-04-29T18:15:36.793077,RUBBERTEST,0.100,,0.23728122049215417,
2025-04-29T18:15:36.900512,RUBBERTEST,0.200,,0.5776212655213153,
2025-04-29T18:15:37.018186,RUBBERTEST,0.300,,0.8717772584768948,
2025-04-29T18:15:37.117793,RUBBERTEST,0.400,,0.9976226215297893,
2025-04-29T18:15:37.224501,RUBBERTEST,0.500,,1.0361852663056552,
2025-04-29T18:15:37.334291,RUBBERTEST,0.600,,0.86394761884715,
2025-04-29T18:15:37.444709,RUBBERTEST,0.700,,0.8274051100633667,
2025-04-29T18:15:37.555127,RUBBERTEST,0.800,,0.5878377472728653,
2025-04-29T18:15:37.661265,RUBBERTEST,0.900,,0.3942866680509016,
2025-04-29T18:15:37.771318,RUBBERTEST,1.000,,0.025284090127335745,
2025-04-29T18:15:37.886143,RUBBERTEST,1.100,,-0.39047912036926985,
2025-04-29T18:15:37.997153,RUBBERTEST,1.200,,-0.6093469267797946,
2025-04-29T18:15:38.103441,RUBBERTEST,1.300,,-0.8196172937941479,
2025-04-29T18:15:38.215288,RUBBERTEST,1.400,,-1.041112585455318,
2025-04-29T18:15:38.324304,RUBBERTEST,1.500,,-0.9378527792175653,
2025-04-29T18:15:38.427668,RUBBERTEST,1.600,,-0.9900767460715408,
2025-04-29T18:15:38.539493,RUBBERTEST,1.700,,-0.7120081663312059,
2025-04-29T18:15:38.644035,RUBBERTEST,1.800,,-0.575651084431258,
2025-04-29T18:15:38.755208,RUBBERTEST,1.900,,-0.33025370132964504,
2025-04-29T18:15:38.865928,RUBBERTEST,2.000,,-0.04832022211731551,
2025-04-29T18:15:38.973156,RUBBERTEST,2.100,,0.3018690172297003,
2025-04-29T18:15:39.080719,RUBBERTEST,2.200,,0.5726713501404835,
2025-04-29T18:15:39.193141,RUBBERTEST,2.300,,0.7285477605735556,
2025-04-29T18:15:39.304129,RUBBERTEST,2.400,,1.010247488542186,
2025-04-29T18:15:39.414244,RUBBERTEST,2.500,,1.0657436309099502,
2025-04-29T18:15:39.519453,RUBBERTEST,2.600,,0.9738006853995513,
2025-04-29T18:15:39.632342,RUBBERTEST,2.700,,0.8914604705858932,
2025-04-29T18:15:39.744072,RUBBERTEST,2.800,,0.647264733460673,
2025-04-29T18:15:39.854026,RUBBERTEST,2.900,,0.21521195270040464,
2025-04-29T18:15:39.956461,RUBBERTEST,3.000,,0.025363944993123423,
2025-04-29T18:15:40.068106,RUBBERTEST,3.100,,-0.37373283062325796,
2025-04-29T18:15:40.177153,RUBBERTEST,3.200,,-0.5758597610691591,
2025-04-29T18:15:40.284291,RUBBERTEST,3.300,,-0.7811826595105644,
2025-04-29T18:15:40.394687,RUBBERTEST,3.400,,-0.8699401397757219,
2025-04-29T18:15:40.505269,RUBBERTEST,3.500,,-1.0700391525062134,
2025-04-29T18:15:40.614478,RUBBERTEST,3.600,,-1.0449942070271958,
2025-04-29T18:15:40.724925,RUBBERTEST,3.700,,-0.8168040720381102,
2025-04-29T18:15:40.835535,RUBBERTEST,3.800,,-0.6295829246950325,
2025-04-29T18:15:40.948023,RUBBERTEST,3.900,,-0.36208480634355833,
2025-04-29T18:15:41.051388,RUBBERTEST,4.000,,0.0806323300389558,
2025-04-29T18:15:41.160817,RUBBERTEST,4.100,,0.21257767978279773,
2025-04-29T18:15:41.272430,RUBBERTEST,4.200,,0.526055661774966,
2025-04-29T18:15:41.379412,RUBBERTEST,4.300,,0.9089829258011728,
2025-04-29T18:15:41.487236,RUBBERTEST,4.400,,0.9305638453128106,
2025-04-29T18:15:41.599493,RUBBERTEST,4.500,,0.9312349705383556,
2025-04-29T18:15:41.707088,RUBBERTEST,4.600,,0.9864167154158032,
2025-04-29T18:15:41.818497,RUBBERTEST,4.700,,0.8934102196606903,
2025-04-29T18:15:41.928191,RUBBERTEST,4.800,,0.6126534469518294,
2025-04-29T18:15:42.032814,RUBBERTEST,4.900,,0.3005888132068245,
2025-04-29T18:15:42.143328,RUBBERTEST,5.000,,0.0898441868153037,
2025-04-29T18:15:42.252650,RUBBERTEST,5.100,,-0.2871292556556,
